Words,Reading,Meaning,Type,Sentence,Translation
ばかりに,,simply because (negative/bad outcome),,受験票を忘れたばかりにテストを受けることができなかった,"Simply because I forgot my test voucher, I couldn’t take the test."
ばかりに,,simply because (negative/bad outcome),,ちょっとした油断をしたばかりに大怪我をしてしまった,"Simply because I was just a little careless, I got seriously injured."
だけあって,,"being the case, precisely because, so, since",,この場所は有名なだけあってたくさんの観光客が人がいる,Precisely because this place is so famous so there are a lot of tourists here.
だけあって,,"being the case, precisely because, so, since",,料理教室に通っているだけあって彼女の作る料理はとても美味しい,"Since she has been taking cooking classes, her food is very delicious."
だけでなく..も,,not only but also,,図書館では本が借りられるだけでなく勉強もできる,"At the library, you can not only borrow books but also study."
だけでなく..も,,not only but also,,トムさんは日本語だけでなく中国語も話せる,Tom can speak Chinese as well as Japanese
だけましだ,,"it’s better than.., one should feel grateful for",,毎日毎日残業で大変だが、残業代が全て出るだけましだ,"It's hard work, working overtime every day, but I'm glad I get paid for all my overtime."
だけましだ,,"it’s better than.., one should feel grateful for",,ガンの手術で貯金のほとんどが無くなってしまったが、命があるだけましだ,"Cancer surgery has wiped out most of our savings, but we're lucky to have life."
だけに,,"being the case, precisely because, as one would expect, so, since",,田中さんは留学経験があるだけに、英語の発音が綺麗だ,"Ms. Tanaka has studied abroad, so her English pronunciation is beautiful."
だけに,,"being the case, precisely because, as one would expect, so, since",,初めての海外旅行なだけに、かなり心配だ,"It's my first trip abroad, so I'm pretty worried."
だけに,,"being the case, precisely because, as one would expect, so, since",,早く試験の準備をしただけに 、いい点が取れた,I was able to get a good score because I prepared for the exam early.
だけに,,"being the case, precisely because, as one would expect, so, since",,不合格と思っていただけに、合格通知が来たときは嬉しかった,I was so happy when I got the acceptance letter because I thought I was going to fail.
ではないか,,"let’s do (something), why don’t we",,みんなで遠足に行こうではないか,Why don't we all go on a field trip?
じゃないか,,"let’s do (something), why don’t we",,さあ、そろそろ行こうじゃないか？,"Well, shall we go?"
どころではない,,"in no way, not the place for, not the time for, not level of",,隣の部屋がうるさすぎて寝るどころではない,The room next door is too noisy for me to sleep.
どころではない,,"in no way, not the place for, not the time for, not level of",,今日はお客さんが多すぎて休憩どころではない,There are too many customers today for me to take a break.
どころじゃない,,"in no way, not the place for, not the time for, not level of",,風邪がひどくて遊びに行くどころじゃない,I've got a bad cold and can't go out to play.
どころじゃない,,"in no way, not the place for, not the time for, not level of",,旅行中にお腹を壊して観光どころじゃなかった,I had a stomach ache during the trip and couldn't see the sights.
得る,,"can, is possible",,考える得る全ての方法を試してみたがダメだった,"I tried every way I could think of, but no luck."
得る,,"can, is possible",,地震がいつ来るかなんて予測し得ないことだ,It's impossible to predict when an earthquake will hit.
得る,,"can, is possible",,今の気持ちは言葉で言い表し得ない,There are no words to describe how I feel right now.
得る,,"can, is possible",,お酒の飲み過ぎやタバコの吸いすぎは病気の原因になり得ます,Drinking too much alcohol and smoking too much can cause disease.
ふうに,,"this way, that way, in what way, how",,そんなふうに考えただけで怒りがいや増してきた,Just thinking about it like that made me even angrier.
ふうに,,"this way, that way, in what way, how",,どんなふうに護られているのですか？,How is it protected?
ごとに,,each; every; at intervals of,,このシステムは半年ごとにアップデートされる,This system is updated every six months.
ごとに,,each; every; at intervals of,,私の会社では２年ごとにパソコンを新しいものに交換する,"In my company, computers are replaced with new ones every two years."
