Words,Reading,Meaning,Type,S1,T1
加える,くわえる,"to add, add up, sum up, append, annex, increase, include, count in, inflict",trans.,子供を加えて一行は50名であった。,"The group was fifty people, including children."
調べる,しらべる,"to examine, look up, investigate, check up, sense, study, inquire, search",trans.,事故の原因を徹底的に調べる。,Thoroughly investigate the cause of the accident.
生ずる,しょうずる,"to produce, yield, cause, result from, arise, be generated",intrans.,これらも放射を生ずる可能性があります。,These may also produce radiation.
驚く,おどろく,"to be surprised, be astonished",intrans.,彼女の忍耐強さには驚いた。,I was amazed at how patient she was.
失う,うしなう,"to lose, miss, concede",trans.,私たちは霧のため方向を失った。,We lost our bearings because of the fog.
合う,あう,"to come together, merge, unite, meet, fit, match, suit, do to each other",intrans.,この服は私に合わない。,These clothes don't fit me.
無くなる,なくなる,"to be lost, be missing, be used up, run out, consumed, disappear",intrans.,金庫の宝石が無くなっている。,Jewelry missing from safe.
増える,ふえる,"to increase, multiply",intrans.,豪雨で川の水かさが増えた。,Torrential rains have increased the river's water level.
上がる,あがる,"to rise, go up, come up, ascend, raise, increase, get out, improve, enter, come in",intrans.,火山から煙が上がっているのが見えた。,I could see smoke rising from the volcano.
起きる,おきる,"to get up, rise, blaze up, wake up. be awake, occur, happen",intrans.,目を覚ましたときには皆もう起きていた。,"By the time I woke up, everyone was already awake."
座る,すわる,"to sit, squat. assume a position, hold still",intrans.,晴れた日は木陰に座る。,"On sunny days, sit in the shade of a tree."
聞こえる,きこえる,"to be heard, be audible,  sound like, be well known",intrans.,この場合は非常に明瞭な音が聞こえる。,"In this case, very clear sound is heard."
思い出す,おもいだす,"to recall, remember, recollect",trans.,彼の腕のぬくもりを思い出す。,I remember the warmth of his arms.
許す,ゆるす,"to permit, allow, approve, consent to, forgive, pardon, exempt, remit, let off, acknowledge, admit, trust",trans.,あなたが許すならもっとよく知りたい。,I would like to get to know you better if you allow me to.
落ちる,おちる,"to fall down, drop, sink, be omitted, be missing, decrease, fail, lose, degenerate, ruined, fade",intrans.,彼は試験に落ちるだろうか。,Will he probably fall to test?
繰り返す,くりかえす,"to repeat, do something over again",trans.intrans.,同じあやまちを２度繰り返すな。,Don't make the same mistake twice.
回る,まわる,"to turn, revolve, visit several places, function well, pass a certain time, go via, earn interest",intrans.,地球は地軸を中心にして24時間に１回まわる。,The earth rotates once every 24 hours around its axis.
起こす,おこす,"to raise, raise up, set up, pick up, wake up, cause, bring about, lead to, generate, produce, start, launch",trans.,明朝７時に起こしてください。,Wake me tomorrow morning at 7:00.
通ずる,つうずる,"to be open, lead to, communicate with, flow, pass, get through, be understood, be good, be honored",intrans.,英語で話を通じさせる事ができますか。,Can you make yourself understood in English?
決まる,きまる,"to be decided, settled, fixed, arranged",intrans.,会場は沖縄と決まった。,The venue was decided to be Okinawa.
寝る,ねる,"to sleep, go to bed, lie in bed, lie down",intrans.,夜はたいていの人が寝る時である。,Night is when most people go to bed.
比べる,くらべる,"to compare, make comparison, vie",trans.,以前と比べるとよくなった。,It is better than before.
限る,かぎる,"to restrict, limit, confine, be limited to, be best for",trans.,我々の予算は10万円以内に限られている。,Our budget is limited to a hundred thousand yen.
振る,ふる,"to wave, shake, swing, sprinkle, throw, cast, allocate, extract",trans.,よく振ってからお飲みください。,Shake well before drinking.
表す,あらわす,"to re present, signify, stand for, reveal. show, display, express",trans.,彼女の態度は不満を表している。,Her attitude shows her dissatisfaction.
通す,とおす,"to stick through, force through, go through, let pass, through",trans.,山を通してトンネルを通した。,They drove a tunnel through the hill.
致す,いたす,to do,trans.,私がお持ち致しましょう。,Let me take it for you.
基づく,もとづく,"to be based on, be grounded on, be in accordance with",intrans.,彼の指示に基づいて行動した。,We acted in accordance with his instructions.
消える,きえる,"to disappear, vanish, go out of sight, go away, fade",intrans.,明かりが消えた。,The lights went out.
尋ねる,たずねる,"to ask, enquire, search, look for, look into, investigate",trans.,詳しいことは司書にお尋ねください。,Please ask the librarian for more information.
見付ける,みつける,"to discover, find, come across, detect, spot, locate",trans.,やっとその事実を見付けた。,I finally found that fact.
触れる,ふれる,"to touch, feel, experience, come in contact, perceive, mention, bring up, violate, infringe, make known",intrans.,私は何かが足に触れるのを感じた。,I felt something touch my leg.
払う,はらう,"to pay, brush off, wipe away",trans.,駐車違反で罰金を払う。,Pay a fine for a parking ticket.
遊ぶ,あそぶ,"to play, enjoy oneself, hang out, meet up",intrans.,子供たちは公園で楽しく遊んだ。,The children had fun playing in the park.
頼む,たのむ,"to request, beg, ask, call, order, reserve, entrust to, rely on",trans.,彼にそれをするように頼んだ。,I asked him to do it.
頑張る,がんばる,"to persevere, persist, keep at it, do one’s best",intrans.,もっと頑張らないと進級できないよ。,You have to work harder to advance.
抱く,いだく,"to hold in one’s arms, embrace, hug, have thought, harbor, bear",trans.,赤ん坊は母親に抱かれて眠っている。,The baby is sleeping in the mother's arms.
楽しむ,たのしむ,to enjoy,trans.,彼は古道具を集めて楽しんでいた。,He enjoyed collecting old tools.
流れる,ながれる,"to stream, flow, run, washed away, drift, stay, circulate, lapse, pass",intrans.,川は市内を流れている。,The river runs through the city.
捨てる,すてる,"to throw, away, cast away, dump, discard, abandon, give up",trans.,まだ使える物を捨ててはいけません。,Don't throw away things that are still usable.
着る,きる,"to wear, put on, take, bear",trans.,彼は上着を着ている。,He's wearing a jacket.
迎える,むかえる,"to go out to meet, receive, welcome, greet, accept, approach",trans.,空港に人を迎える。,Meet a person at the airport.
取れる,とれる,"to come off, removed, diaper, be caught, taken as, be attained",ichidan,上着のボタンが取れた。,My jacket button came off.
押す,おす,"to push, press, press down, stamp, affix, repress",trans.,戸を押して開ける。,Push the door open.
超える,こえる,"to cross over, cross, pass through, go beyond, exceed, surpass",trans.,彼は太平洋を越えてアメリカへ渡った。,He crossed the Pacific to America.
並ぶ,ならぶ,"to line up, stand in line, rival, match",intrans.,狭い道を横に並んで歩いてはいけない。,Do not walk side by side on narrow streets
定める,さだめる,"to decide, determine, establish, prescribe, provide",trans.,今月の売上目標を５千箱と定めた。,"The sales target for this month was set at 5,000 boxes."
学ぶ,まなぶ,"to lear, study, take lesson in",godan,自分を押さえることを学ぶ。,Learn to control oneself.
頷く,うなずく,"to nod, bow, agree",intrans.,精神科医は頷きながらこう言った。,The psychiatrist nodded and said.
通る,とおる,"to go by, go past, go along, pass through, go via, go between, go through",intrans.,駅とお寺の間にバスが通っている。,Buses run between the station and the temple.
運ぶ,はこぶ,"to carry, transport, convey, to go well",trans.intrans.,次の駅へ乗客を運ぶ。,Carry passengers to the next station.
伴う,ともなう,"to accompany, bring with, take with, be involved in",trans.intrans.,権利には責任が伴う。,Rights and responsibilities go hand in hand.
広がる,ひろがる,"to spread put, stretch, reach get around, fill",intrans.,火事は隣町に広がった。,The fire spread to neighboring towns.
付き合う,つきあう,"to associate with, keep company with, go out with, go steady",intrans.,初めての人たちと付き合うのが苦手だ。,I find it difficult to mix with strangers.
泣く,なく,"to cry, weep, sob",godan,お金を落として泣きたくなった。, felt like crying when I discovered I had lost the money.
進める,すすめる,"to advance, move forward, proceed",trans.,この仕事をどんどん進めなさい。,Keep moving forward with this work.
